,cevae_ite
0,-0.028908756
1,-0.022357404
2,-0.021478895
3,-0.016740276
4,-0.019284109
5,-0.020602595
6,-0.035615258
7,-0.020703418
8,-0.01138879
9,-0.026500117
10,-0.029112674
11,-0.016909115
12,-0.012657709
13,-0.018140469
14,-0.014997097
15,-0.015138077
16,-0.014924939
17,-0.018164968
18,-0.016038818
19,-0.015293828
20,-0.012798885
21,-0.027363267
22,-0.010760062
23,-0.016153915
24,-0.03235193
25,-0.009846678
26,-0.02239871
27,-0.014827795
28,-0.015083025
29,-0.017215163
30,-0.013808961
31,-0.010229539
32,-0.023473732
33,-0.018214088
34,-0.024119304
35,-0.027021339
36,-0.020206368
37,-0.015241873
38,-0.020045279
39,-0.025302231
40,-0.016274767
41,-0.013490803
42,-0.01045171
43,-0.023172397
44,-0.008136798
45,-0.023894044
46,-0.009988402
47,-0.015786249
48,-0.011143153
49,-0.014024252
50,-0.015147161
51,-0.011081968
52,-0.017387742
53,-0.020462207
54,-0.009252898
55,-0.019333009
56,-0.009143717
57,-0.018450007
58,-0.008291097
59,-0.012365745
60,-0.019491905
61,-0.024632473
62,-0.022939719
63,-0.015943829
64,-0.015168794
65,-0.013508938
66,-0.018858619
67,-0.019479869
68,-0.010642772
69,-0.019262703
70,-0.016821153
71,-0.020405792
72,-0.010669503
73,-0.018439135
74,-0.024071734
75,-0.016181394
76,-0.013077992
77,-0.017640958
78,-0.019171413
79,-0.010371384
80,-0.022998692
81,-0.031013023
82,-0.010732282
83,-0.016474087
84,-0.013080273
85,-0.010225643
86,-0.01597462
87,-0.020766793
88,-0.017928628
89,-0.012484137
90,-0.021229066
91,-0.011260794
92,-0.013331096
93,-0.023253441
94,-0.008829508
95,-0.016117262
96,-0.015868576
97,-0.01830557
98,-0.015329633
99,-0.026111774
100,-0.013352283
101,-0.018496428
102,-0.023467857
103,-0.017023053
104,-0.01215283
105,-0.014768465
106,-0.011781473
107,-0.016169945
108,-0.009381972
109,-0.018227264
110,-0.023423398
111,-0.007811897
112,-0.014622494
113,-0.018181233
114,-0.025949704
115,-0.022777002
116,-0.017682923
117,-0.018863888
118,-0.014692642
119,-0.014781868
120,-0.020332105
121,-0.013031069
122,-0.031645846
123,-0.009826321
124,-0.013650117
125,-0.012438146
126,-0.018296396
127,-0.018745745
128,-0.010628281
129,-0.017161066
130,-0.019745808
131,-0.022244236
132,-0.023401715
133,-0.013718937
134,-0.016269842
135,-0.017615827
136,-0.019846188
137,-0.030515172
138,-0.022081191
139,-0.02096593
140,-0.02992548
141,-0.017903963
142,-0.016110161
143,-0.013012609
144,-0.017054845
145,-0.013078175
146,-0.017164933
147,-0.019134855
148,-0.019009145
149,-0.023329796
150,-0.01038288
151,-0.015494664
152,-0.01982942
153,-0.015915427
154,-0.008328501
155,-0.011017932
156,-0.028713839
157,-0.019179136
158,-0.01668328
159,-0.016690888
160,-0.014562065
161,-0.026968192
162,-0.008375318
163,-0.018697655
164,-0.023018859
165,-0.013003106
166,-0.022515163
167,-0.015824215
168,-0.012575735
169,-0.017233739
170,-0.017055208
171,-0.009701288
172,-0.0131059
173,-0.012597657
174,-0.029598996
175,-0.020404909
176,-0.011369199
177,-0.022540512
178,-0.021110876
179,-0.028108256
180,-0.014426961
181,-0.012803325
182,-0.023394769
183,-0.022326756
184,-0.012937791
185,-0.012183442
186,-0.010588574
187,-0.012066001
188,-0.014356171
189,-0.015791634
190,-0.027532948
191,-0.021902595
192,-0.015087713
193,-0.016901854
194,-0.019974105
195,-0.012981581
196,-0.020794252
197,-0.013667153
198,-0.017357236
199,-0.013446001
200,-0.019600425
201,-0.014667575
202,-0.018754037
203,-0.022972658
204,-0.016904118
205,-0.016079681
206,-0.016564164
207,-0.013867835
208,-0.010263794
209,-0.0083915
210,-0.008183071
211,-0.009829096
212,-0.014800236
213,-0.021159602
214,-0.020415468
215,-0.014471467
216,-0.014974876
217,-0.019252071
218,-0.013410593
219,-0.018263962
220,-0.017100722
221,-0.013052971
222,-0.012251672
223,-0.011216155
224,-0.016663471
225,-0.022670265
226,-0.014300453
227,-0.010682537
228,-0.017474083
229,-0.018202657
230,-0.014877186
231,-0.017045084
232,-0.018687887
233,-0.014956808
234,-0.009266987
235,-0.015889414
236,-0.018219395
237,-0.011604461
238,-0.007470329
239,-0.016409501
240,-0.022179252
241,-0.013140289
242,-0.025518529
243,-0.0242883
244,-0.017360818
245,-0.018563641
246,-0.011557003
247,-0.023264872
248,-0.017989902
249,-0.016773555
250,-0.010212231
251,-0.018860411
252,-0.014996197
253,-0.013659408
254,-0.010353618
255,-0.011324913
256,-0.021601586
257,-0.01316141
258,-0.015083247
259,-0.020289265
260,-0.015666386
261,-0.011624986
262,-0.017255701
263,-0.02678341
264,-0.023985371
265,-0.010129821
266,-0.020910664
267,-0.010498216
268,-0.011602802
269,-0.013976184
270,-0.024912253
271,-0.022767946
272,-0.025457857
273,-0.011418619
274,-0.028384823
275,-0.024186384
276,-0.019429114
277,-0.024407042
278,-0.014616038
279,-0.013906567
280,-0.012428568
281,-0.0144716
282,-0.01788358
283,-0.010663018
284,-0.013558443
285,-0.018921569
286,-0.015264477
287,-0.012469755
288,-0.026010113
289,-0.022264343
290,-0.015932318
291,-0.015783604
292,-0.015464602
293,-0.011054305
294,-0.018210156
295,-0.010257987
296,-0.010849162
297,-0.027509766
298,-0.013720406
299,-0.013809084
300,-0.015316028
301,-0.010836567
302,-0.022262204
303,-0.024470665
304,-0.024002744
305,-0.016633857
306,-0.019836254
307,-0.020693831
308,-0.020267183
309,-0.011651401
310,-0.015706003
311,-0.016366908
312,-0.009076403
313,-0.010943673
314,-0.018142534
315,-0.01189717
316,-0.019322054
317,-0.018889606
318,-0.019413229
319,-0.019508678
320,-0.024419697
321,-0.01804436
322,-0.017038295
323,-0.018251823
324,-0.010532095
325,-0.018090932
326,-0.023950674
327,-0.013199168
328,-0.021457164
329,-0.017025504
330,-0.01048862
331,-0.009851974
332,-0.021423573
333,-0.015896143
334,-0.015698105
335,-0.012792104
336,-0.026313119
337,-0.027534585
338,-0.012256611
339,-0.022763332
340,-0.024611928
341,-0.010440601
342,-0.020801624
343,-0.01698637
344,-0.015367737
345,-0.019036198
346,-0.017391238
347,-0.01406299
348,-0.020618904
349,-0.022599906
350,-0.020406956
351,-0.015698107
352,-0.01777119
353,-0.024305437
354,-0.020896517
355,-0.012419701
356,-0.021241158
357,-0.013921412
358,-0.014488037
359,-0.023255266
360,-0.011012511
361,-0.021617692
362,-0.017650321
363,-0.014633907
364,-0.022426777
365,-0.016702302
366,-0.016074484
367,-0.015189134
368,-0.018977793
369,-0.017278727
370,-0.013595281
371,-0.009490086
372,-0.027674779
373,-0.012157802
374,-0.026789553
375,-0.017413978
376,-0.022206534
377,-0.02240075
378,-0.01435145
379,-0.011547329
380,-0.017325666
381,-0.015829805
382,-0.022217376
383,-0.016930435
384,-0.018924879
385,-0.015921731
386,-0.020185918
387,-0.020029897
388,-0.019332794
389,-0.019783808
390,-0.014567634
391,-0.015817842
392,-0.014709461
393,-0.018547349
394,-0.011488146
395,-0.019419357
396,-0.017255247
397,-0.018678345
398,-0.018517228
399,-0.015868869
400,-0.019506982
401,-0.027962916
402,-0.02343291
403,-0.011207097
404,-0.023214007
405,-0.021748921
406,-0.015166542
407,-0.018060517
408,-0.017879292
409,-0.016897315
410,-0.018426381
411,-0.016825352
412,-0.020167602
413,-0.011065263
414,-0.013106486
415,-0.024016319
416,-0.01653323
417,-0.023899624
418,-0.009495789
419,-0.023938941
420,-0.011636481
421,-0.011395512
422,-0.021141503
423,-0.016745035
424,-0.014732335
425,-0.021623285
426,-0.021910537
427,-0.019285176
428,-0.020557407
429,-0.008364934
430,-0.022728873
431,-0.01938531
432,-0.019900197
433,-0.028470643
434,-0.027145702
435,-0.019338956
436,-0.009517898
437,-0.021952251
438,-0.012905788
439,-0.014061264
440,-0.021980749
441,-0.02205006
442,-0.015218112
443,-0.016579526
444,-0.02228106
445,-0.01137905
446,-0.013146964
447,-0.024308274
448,-0.019116243
449,-0.026212536
450,-0.017946929
451,-0.016710836
452,-0.01582009
453,-0.022177009
454,-0.019672789
455,-0.016252298
456,-0.019403134
457,-0.013470978
458,-0.009859283
459,-0.023851939
460,-0.018996494
461,-0.019507524
462,-0.018802073
463,-0.020252867
464,-0.025751721
465,-0.022186356
466,-0.020483898
467,-0.024696805
468,-0.011715918
469,-0.019561952
470,-0.022478843
471,-0.014473488
472,-0.021479698
473,-0.020791873
474,-0.022359211
475,-0.015012297
476,-0.013257159
477,-0.015121381
478,-0.019775726
479,-0.019396277
480,-0.021754518
481,-0.012233291
482,-0.017833145
483,-0.016194493
484,-0.019438721
